,episode,actions,rewards
3364,3364,500,500.0
3365,3365,500,500.0
3366,3366,500,500.0
3367,3367,500,500.0
3368,3368,351,351.0
3369,3369,500,500.0
3370,3370,500,500.0
3371,3371,500,500.0
3372,3372,297,297.0
3373,3373,500,500.0
3374,3374,352,352.0
3375,3375,500,500.0
3376,3376,500,500.0
3377,3377,500,500.0
3378,3378,500,500.0
3379,3379,500,500.0
3380,3380,500,500.0
3381,3381,500,500.0
3382,3382,500,500.0
3383,3383,500,500.0
3384,3384,500,500.0
3385,3385,500,500.0
3386,3386,500,500.0
3387,3387,500,500.0
3388,3388,500,500.0
3389,3389,500,500.0
3390,3390,500,500.0
3391,3391,500,500.0
3392,3392,500,500.0
3393,3393,500,500.0
3394,3394,500,500.0
3395,3395,500,500.0
3396,3396,500,500.0
3397,3397,500,500.0
3398,3398,500,500.0
3399,3399,500,500.0
3400,3400,500,500.0
3401,3401,500,500.0
3402,3402,500,500.0
3403,3403,500,500.0
3404,3404,500,500.0
3405,3405,500,500.0
3406,3406,500,500.0
3407,3407,500,500.0
3408,3408,500,500.0
3409,3409,66,66.0
3410,3410,500,500.0
3411,3411,500,500.0
3412,3412,500,500.0
3413,3413,500,500.0
3414,3414,500,500.0
3415,3415,500,500.0
3416,3416,500,500.0
3417,3417,500,500.0
3418,3418,500,500.0
3419,3419,500,500.0
3420,3420,500,500.0
3421,3421,500,500.0
3422,3422,500,500.0
3423,3423,500,500.0
3424,3424,500,500.0
3425,3425,500,500.0
3426,3426,122,122.0
3427,3427,500,500.0
3428,3428,500,500.0
3429,3429,500,500.0
3430,3430,500,500.0
3431,3431,500,500.0
3432,3432,500,500.0
3433,3433,500,500.0
3434,3434,500,500.0
3435,3435,500,500.0
3436,3436,500,500.0
3437,3437,500,500.0
3438,3438,500,500.0
3439,3439,500,500.0
3440,3440,500,500.0
3441,3441,500,500.0
3442,3442,500,500.0
3443,3443,500,500.0
3444,3444,500,500.0
3445,3445,500,500.0
3446,3446,500,500.0
3447,3447,500,500.0
3448,3448,500,500.0
3449,3449,500,500.0
3450,3450,500,500.0
3451,3451,500,500.0
3452,3452,500,500.0
3453,3453,500,500.0
3454,3454,65,65.0
3455,3455,500,500.0
3456,3456,500,500.0
3457,3457,500,500.0
3458,3458,500,500.0
3459,3459,500,500.0
3460,3460,500,500.0
3461,3461,500,500.0
3462,3462,500,500.0
3463,3463,148,148.0
3464,3464,500,500.0
3465,3465,500,500.0
3466,3466,500,500.0
3467,3467,500,500.0
3468,3468,465,465.0
3469,3469,52,52.0
3470,3470,500,500.0
3471,3471,500,500.0
3472,3472,328,328.0
3473,3473,500,500.0
3474,3474,500,500.0
3475,3475,500,500.0
3476,3476,500,500.0
3477,3477,500,500.0
3478,3478,500,500.0
3479,3479,500,500.0
3480,3480,500,500.0
3481,3481,500,500.0
3482,3482,500,500.0
3483,3483,500,500.0
3484,3484,500,500.0
3485,3485,131,131.0
3486,3486,500,500.0
3487,3487,500,500.0
3488,3488,500,500.0
3489,3489,338,338.0
3490,3490,500,500.0
3491,3491,500,500.0
3492,3492,500,500.0
3493,3493,500,500.0
3494,3494,143,143.0
3495,3495,229,229.0
3496,3496,500,500.0
3497,3497,500,500.0
3498,3498,500,500.0
3499,3499,341,341.0
3500,3500,500,500.0
3501,3501,213,213.0
3502,3502,500,500.0
3503,3503,500,500.0
3504,3504,500,500.0
3505,3505,500,500.0
3506,3506,334,334.0
3507,3507,500,500.0
3508,3508,500,500.0
3509,3509,500,500.0
3510,3510,500,500.0
3511,3511,430,430.0
3512,3512,228,228.0
3513,3513,500,500.0
3514,3514,500,500.0
3515,3515,500,500.0
3516,3516,500,500.0
3517,3517,500,500.0
3518,3518,471,471.0
3519,3519,500,500.0
3520,3520,500,500.0
3521,3521,500,500.0
3522,3522,500,500.0
3523,3523,53,53.0
3524,3524,500,500.0
3525,3525,500,500.0
3526,3526,500,500.0
3527,3527,500,500.0
3528,3528,500,500.0
3529,3529,500,500.0
3530,3530,500,500.0
3531,3531,500,500.0
3532,3532,500,500.0
3533,3533,331,331.0
3534,3534,500,500.0
3535,3535,500,500.0
3536,3536,392,392.0
3537,3537,500,500.0
3538,3538,221,221.0
3539,3539,454,454.0
3540,3540,500,500.0
3541,3541,500,500.0
3542,3542,500,500.0
3543,3543,500,500.0
3544,3544,500,500.0
3545,3545,500,500.0
3546,3546,500,500.0
3547,3547,410,410.0
3548,3548,500,500.0
3549,3549,217,217.0
3550,3550,500,500.0
3551,3551,267,267.0
3552,3552,137,137.0
3553,3553,500,500.0
3554,3554,500,500.0
3555,3555,500,500.0
3556,3556,500,500.0
3557,3557,500,500.0
3558,3558,500,500.0
3559,3559,500,500.0
3560,3560,500,500.0
3561,3561,151,151.0
3562,3562,500,500.0
3563,3563,500,500.0
3564,3564,500,500.0
3565,3565,500,500.0
3566,3566,500,500.0
3567,3567,500,500.0
3568,3568,500,500.0
3569,3569,500,500.0
3570,3570,500,500.0
3571,3571,500,500.0
3572,3572,500,500.0
3573,3573,500,500.0
3574,3574,500,500.0
3575,3575,239,239.0
3576,3576,500,500.0
3577,3577,500,500.0
3578,3578,500,500.0
3579,3579,500,500.0
3580,3580,500,500.0
3581,3581,500,500.0
3582,3582,500,500.0
3583,3583,500,500.0
3584,3584,500,500.0
3585,3585,500,500.0
3586,3586,500,500.0
3587,3587,500,500.0
3588,3588,500,500.0
3589,3589,500,500.0
3590,3590,500,500.0
3591,3591,500,500.0
3592,3592,500,500.0
3593,3593,500,500.0
3594,3594,500,500.0
3595,3595,500,500.0
3596,3596,500,500.0
3597,3597,500,500.0
3598,3598,500,500.0
3599,3599,500,500.0
3600,3600,500,500.0
3601,3601,500,500.0
3602,3602,500,500.0
3603,3603,500,500.0
3604,3604,500,500.0
3605,3605,500,500.0
3606,3606,500,500.0
3607,3607,500,500.0
3608,3608,500,500.0
3609,3609,500,500.0
3610,3610,500,500.0
3611,3611,500,500.0
3612,3612,64,64.0
3613,3613,500,500.0
3614,3614,500,500.0
3615,3615,500,500.0
3616,3616,500,500.0
3617,3617,500,500.0
3618,3618,500,500.0
3619,3619,500,500.0
3620,3620,500,500.0
3621,3621,500,500.0
3622,3622,500,500.0
3623,3623,500,500.0
3624,3624,500,500.0
3625,3625,500,500.0
3626,3626,500,500.0
3627,3627,500,500.0
3628,3628,143,143.0
3629,3629,500,500.0
3630,3630,500,500.0
3631,3631,500,500.0
3632,3632,500,500.0
3633,3633,500,500.0
3634,3634,500,500.0
3635,3635,500,500.0
3636,3636,500,500.0
3637,3637,500,500.0
3638,3638,500,500.0
3639,3639,500,500.0
3640,3640,500,500.0
3641,3641,500,500.0
3642,3642,500,500.0
3643,3643,500,500.0
3644,3644,152,152.0
3645,3645,500,500.0
3646,3646,500,500.0
3647,3647,500,500.0
3648,3648,500,500.0
3649,3649,500,500.0
3650,3650,500,500.0
3651,3651,500,500.0
3652,3652,500,500.0
3653,3653,500,500.0
3654,3654,500,500.0
3655,3655,452,452.0
3656,3656,500,500.0
3657,3657,500,500.0
3658,3658,500,500.0
3659,3659,500,500.0
3660,3660,64,64.0
3661,3661,54,54.0
3662,3662,500,500.0
3663,3663,500,500.0
3664,3664,500,500.0
3665,3665,500,500.0
3666,3666,500,500.0
3667,3667,500,500.0
3668,3668,500,500.0
3669,3669,500,500.0
3670,3670,500,500.0
3671,3671,500,500.0
3672,3672,500,500.0
3673,3673,500,500.0
3674,3674,500,500.0
3675,3675,500,500.0
3676,3676,500,500.0
3677,3677,500,500.0
3678,3678,500,500.0
3679,3679,500,500.0
3680,3680,500,500.0
3681,3681,500,500.0
3682,3682,500,500.0
3683,3683,500,500.0
3684,3684,500,500.0
3685,3685,500,500.0
3686,3686,500,500.0
3687,3687,500,500.0
3688,3688,500,500.0
3689,3689,500,500.0
3690,3690,500,500.0
3691,3691,64,64.0
3692,3692,23,23.0
3693,3693,500,500.0
3694,3694,500,500.0
3695,3695,500,500.0
3696,3696,54,54.0
3697,3697,500,500.0
3698,3698,500,500.0
3699,3699,73,73.0
3700,3700,500,500.0
3701,3701,500,500.0
3702,3702,500,500.0
3703,3703,500,500.0
3704,3704,500,500.0
3705,3705,500,500.0
3706,3706,500,500.0
3707,3707,500,500.0
3708,3708,500,500.0
3709,3709,500,500.0
3710,3710,69,69.0
3711,3711,500,500.0
3712,3712,500,500.0
3713,3713,500,500.0
3714,3714,500,500.0
3715,3715,500,500.0
3716,3716,500,500.0
3717,3717,500,500.0
3718,3718,500,500.0
3719,3719,500,500.0
3720,3720,500,500.0
3721,3721,500,500.0
3722,3722,500,500.0
3723,3723,500,500.0
3724,3724,67,67.0
3725,3725,500,500.0
3726,3726,500,500.0
3727,3727,500,500.0
3728,3728,500,500.0
3729,3729,500,500.0
3730,3730,500,500.0
3731,3731,500,500.0
3732,3732,500,500.0
3733,3733,500,500.0
3734,3734,500,500.0
3735,3735,500,500.0
3736,3736,500,500.0
3737,3737,500,500.0
3738,3738,500,500.0
3739,3739,500,500.0
3740,3740,66,66.0
3741,3741,500,500.0
3742,3742,500,500.0
3743,3743,500,500.0
3744,3744,500,500.0
3745,3745,500,500.0
3746,3746,500,500.0
3747,3747,500,500.0
3748,3748,500,500.0
3749,3749,500,500.0
3750,3750,500,500.0
3751,3751,500,500.0
3752,3752,500,500.0
3753,3753,500,500.0
3754,3754,500,500.0
3755,3755,500,500.0
3756,3756,500,500.0
3757,3757,500,500.0
3758,3758,500,500.0
3759,3759,500,500.0
3760,3760,500,500.0
3761,3761,500,500.0
3762,3762,500,500.0
3763,3763,500,500.0
3764,3764,500,500.0
3765,3765,500,500.0
3766,3766,500,500.0
3767,3767,500,500.0
3768,3768,500,500.0
3769,3769,500,500.0
3770,3770,71,71.0
3771,3771,500,500.0
3772,3772,500,500.0
3773,3773,500,500.0
3774,3774,500,500.0
3775,3775,500,500.0
3776,3776,500,500.0
3777,3777,500,500.0
3778,3778,500,500.0
3779,3779,500,500.0
3780,3780,500,500.0
3781,3781,500,500.0
3782,3782,500,500.0
3783,3783,500,500.0
3784,3784,500,500.0
3785,3785,500,500.0
3786,3786,500,500.0
3787,3787,500,500.0
3788,3788,500,500.0
3789,3789,500,500.0
3790,3790,500,500.0
3791,3791,500,500.0
3792,3792,500,500.0
3793,3793,500,500.0
3794,3794,500,500.0
3795,3795,500,500.0
3796,3796,500,500.0
3797,3797,500,500.0
3798,3798,500,500.0
3799,3799,500,500.0
3800,3800,500,500.0
3801,3801,500,500.0
3802,3802,500,500.0
3803,3803,500,500.0
3804,3804,500,500.0
3805,3805,500,500.0
3806,3806,500,500.0
3807,3807,500,500.0
3808,3808,500,500.0
3809,3809,500,500.0
3810,3810,500,500.0
3811,3811,500,500.0
3812,3812,500,500.0
3813,3813,500,500.0
3814,3814,500,500.0
3815,3815,500,500.0
3816,3816,500,500.0
3817,3817,500,500.0
3818,3818,500,500.0
3819,3819,500,500.0
3820,3820,500,500.0
3821,3821,500,500.0
3822,3822,500,500.0
3823,3823,500,500.0
3824,3824,59,59.0
3825,3825,500,500.0
3826,3826,500,500.0
3827,3827,500,500.0
3828,3828,500,500.0
3829,3829,500,500.0
3830,3830,500,500.0
3831,3831,500,500.0
3832,3832,500,500.0
3833,3833,500,500.0
3834,3834,500,500.0
3835,3835,500,500.0
3836,3836,500,500.0
3837,3837,500,500.0
3838,3838,500,500.0
3839,3839,500,500.0
3840,3840,500,500.0
3841,3841,500,500.0
3842,3842,500,500.0
3843,3843,500,500.0
3844,3844,500,500.0
3845,3845,500,500.0
3846,3846,500,500.0
3847,3847,500,500.0
3848,3848,500,500.0
3849,3849,500,500.0
3850,3850,500,500.0
3851,3851,500,500.0
3852,3852,500,500.0
3853,3853,500,500.0
3854,3854,500,500.0
3855,3855,500,500.0
3856,3856,500,500.0
3857,3857,500,500.0
3858,3858,500,500.0
3859,3859,500,500.0
3860,3860,500,500.0
3861,3861,500,500.0
3862,3862,500,500.0
3863,3863,500,500.0
3864,3864,500,500.0
3865,3865,500,500.0
3866,3866,500,500.0
3867,3867,500,500.0
3868,3868,500,500.0
3869,3869,500,500.0
3870,3870,500,500.0
3871,3871,500,500.0
3872,3872,500,500.0
3873,3873,500,500.0
3874,3874,500,500.0
3875,3875,500,500.0
3876,3876,500,500.0
3877,3877,500,500.0
3878,3878,500,500.0
3879,3879,500,500.0
3880,3880,500,500.0
3881,3881,500,500.0
3882,3882,500,500.0
3883,3883,500,500.0
3884,3884,500,500.0
3885,3885,500,500.0
3886,3886,500,500.0
3887,3887,500,500.0
3888,3888,500,500.0
3889,3889,500,500.0
3890,3890,500,500.0
3891,3891,500,500.0
3892,3892,500,500.0
3893,3893,500,500.0
3894,3894,500,500.0
3895,3895,500,500.0
3896,3896,500,500.0
3897,3897,500,500.0
3898,3898,500,500.0
3899,3899,500,500.0
3900,3900,500,500.0
3901,3901,500,500.0
3902,3902,500,500.0
3903,3903,500,500.0
3904,3904,500,500.0
3905,3905,500,500.0
3906,3906,500,500.0
3907,3907,500,500.0
3908,3908,500,500.0
3909,3909,500,500.0
3910,3910,500,500.0
3911,3911,500,500.0
3912,3912,500,500.0
3913,3913,500,500.0
3914,3914,500,500.0
3915,3915,500,500.0
3916,3916,500,500.0
3917,3917,500,500.0
3918,3918,500,500.0
3919,3919,500,500.0
3920,3920,500,500.0
3921,3921,500,500.0
3922,3922,500,500.0
3923,3923,500,500.0
3924,3924,500,500.0
3925,3925,500,500.0
3926,3926,500,500.0
3927,3927,500,500.0
3928,3928,500,500.0
3929,3929,500,500.0
3930,3930,500,500.0
3931,3931,500,500.0
3932,3932,500,500.0
3933,3933,500,500.0
3934,3934,500,500.0
3935,3935,500,500.0
3936,3936,500,500.0
3937,3937,500,500.0
3938,3938,500,500.0
3939,3939,500,500.0
3940,3940,500,500.0
3941,3941,500,500.0
3942,3942,500,500.0
3943,3943,500,500.0
3944,3944,500,500.0
3945,3945,500,500.0
3946,3946,500,500.0
3947,3947,500,500.0
3948,3948,500,500.0
3949,3949,500,500.0
3950,3950,500,500.0
3951,3951,500,500.0
3952,3952,500,500.0
3953,3953,500,500.0
3954,3954,500,500.0
3955,3955,500,500.0
3956,3956,500,500.0
3957,3957,500,500.0
3958,3958,500,500.0
3959,3959,500,500.0
3960,3960,500,500.0
3961,3961,500,500.0
3962,3962,500,500.0
3963,3963,500,500.0
3964,3964,500,500.0
3965,3965,500,500.0
3966,3966,500,500.0
3967,3967,500,500.0
3968,3968,500,500.0
3969,3969,500,500.0
3970,3970,500,500.0
3971,3971,500,500.0
3972,3972,500,500.0
3973,3973,500,500.0
3974,3974,500,500.0
3975,3975,500,500.0
3976,3976,500,500.0
3977,3977,500,500.0
3978,3978,500,500.0
3979,3979,500,500.0
3980,3980,500,500.0
3981,3981,500,500.0
3982,3982,500,500.0
3983,3983,500,500.0
3984,3984,500,500.0
3985,3985,500,500.0
3986,3986,500,500.0
3987,3987,500,500.0
3988,3988,500,500.0
3989,3989,500,500.0
3990,3990,500,500.0
3991,3991,500,500.0
3992,3992,500,500.0
3993,3993,500,500.0
3994,3994,500,500.0
3995,3995,500,500.0
3996,3996,500,500.0
3997,3997,500,500.0
3998,3998,500,500.0
3999,3999,500,500.0
4000,4000,500,500.0
4001,4001,500,500.0
4002,4002,500,500.0
4003,4003,500,500.0
4004,4004,500,500.0
4005,4005,500,500.0
4006,4006,500,500.0
4007,4007,500,500.0
4008,4008,500,500.0
4009,4009,500,500.0
4010,4010,500,500.0
4011,4011,500,500.0
4012,4012,500,500.0
4013,4013,500,500.0
4014,4014,500,500.0
4015,4015,500,500.0
4016,4016,500,500.0
4017,4017,500,500.0
4018,4018,500,500.0
4019,4019,500,500.0
4020,4020,500,500.0
4021,4021,500,500.0
4022,4022,500,500.0
4023,4023,500,500.0
4024,4024,500,500.0
4025,4025,500,500.0
4026,4026,500,500.0
4027,4027,500,500.0
4028,4028,500,500.0
4029,4029,500,500.0
4030,4030,500,500.0
4031,4031,500,500.0
4032,4032,500,500.0
4033,4033,500,500.0
4034,4034,500,500.0
4035,4035,500,500.0
4036,4036,500,500.0
4037,4037,500,500.0
4038,4038,500,500.0
4039,4039,500,500.0
4040,4040,500,500.0
4041,4041,500,500.0
4042,4042,500,500.0
4043,4043,500,500.0
4044,4044,500,500.0
4045,4045,500,500.0
4046,4046,500,500.0
4047,4047,500,500.0
4048,4048,500,500.0
4049,4049,500,500.0
4050,4050,500,500.0
4051,4051,500,500.0
4052,4052,500,500.0
4053,4053,500,500.0
4054,4054,500,500.0
4055,4055,500,500.0
4056,4056,500,500.0
4057,4057,500,500.0
4058,4058,500,500.0
4059,4059,500,500.0
4060,4060,500,500.0
4061,4061,500,500.0
4062,4062,500,500.0
4063,4063,500,500.0
4064,4064,500,500.0
4065,4065,500,500.0
4066,4066,500,500.0
4067,4067,500,500.0
4068,4068,500,500.0
4069,4069,500,500.0
4070,4070,500,500.0
4071,4071,500,500.0
4072,4072,500,500.0
4073,4073,500,500.0
4074,4074,500,500.0
4075,4075,500,500.0
4076,4076,500,500.0
4077,4077,500,500.0
4078,4078,500,500.0
4079,4079,500,500.0
4080,4080,500,500.0
4081,4081,500,500.0
4082,4082,500,500.0
4083,4083,500,500.0
4084,4084,500,500.0
4085,4085,500,500.0
4086,4086,500,500.0
4087,4087,500,500.0
4088,4088,500,500.0
4089,4089,400,400.0
4090,4090,500,500.0
4091,4091,500,500.0
4092,4092,500,500.0
4093,4093,500,500.0
4094,4094,500,500.0
4095,4095,500,500.0
4096,4096,500,500.0
4097,4097,500,500.0
4098,4098,500,500.0
4099,4099,500,500.0
4100,4100,500,500.0
4101,4101,500,500.0
4102,4102,500,500.0
4103,4103,500,500.0
4104,4104,500,500.0
4105,4105,500,500.0
4106,4106,500,500.0
4107,4107,500,500.0
4108,4108,500,500.0
4109,4109,500,500.0
4110,4110,500,500.0
4111,4111,500,500.0
4112,4112,500,500.0
4113,4113,500,500.0
4114,4114,500,500.0
4115,4115,500,500.0
4116,4116,500,500.0
4117,4117,500,500.0
4118,4118,500,500.0
4119,4119,500,500.0
4120,4120,500,500.0
4121,4121,500,500.0
4122,4122,500,500.0
4123,4123,500,500.0
4124,4124,500,500.0
4125,4125,500,500.0
4126,4126,500,500.0
4127,4127,500,500.0
4128,4128,500,500.0
4129,4129,344,344.0
4130,4130,500,500.0
4131,4131,500,500.0
4132,4132,500,500.0
4133,4133,500,500.0
4134,4134,500,500.0
4135,4135,500,500.0
4136,4136,500,500.0
4137,4137,500,500.0
4138,4138,500,500.0
4139,4139,500,500.0
4140,4140,500,500.0
4141,4141,500,500.0
4142,4142,500,500.0
4143,4143,500,500.0
4144,4144,500,500.0
4145,4145,500,500.0
4146,4146,332,332.0
4147,4147,500,500.0
4148,4148,500,500.0
4149,4149,500,500.0
4150,4150,500,500.0
4151,4151,500,500.0
4152,4152,500,500.0
4153,4153,500,500.0
4154,4154,500,500.0
4155,4155,500,500.0
4156,4156,500,500.0
4157,4157,500,500.0
4158,4158,500,500.0
4159,4159,500,500.0
4160,4160,500,500.0
4161,4161,500,500.0
4162,4162,500,500.0
4163,4163,500,500.0
4164,4164,500,500.0
4165,4165,500,500.0
4166,4166,500,500.0
4167,4167,500,500.0
4168,4168,500,500.0
4169,4169,500,500.0
4170,4170,500,500.0
4171,4171,500,500.0
4172,4172,500,500.0
4173,4173,500,500.0
4174,4174,500,500.0
4175,4175,500,500.0
4176,4176,500,500.0
4177,4177,500,500.0
4178,4178,500,500.0
4179,4179,500,500.0
4180,4180,500,500.0
4181,4181,500,500.0
4182,4182,500,500.0
4183,4183,500,500.0
4184,4184,500,500.0
4185,4185,500,500.0
4186,4186,500,500.0
4187,4187,500,500.0
4188,4188,500,500.0
4189,4189,500,500.0
4190,4190,500,500.0
4191,4191,500,500.0
4192,4192,500,500.0
4193,4193,476,476.0
4194,4194,500,500.0
4195,4195,500,500.0
4196,4196,500,500.0
4197,4197,500,500.0
4198,4198,500,500.0
4199,4199,500,500.0
4200,4200,500,500.0
4201,4201,500,500.0
4202,4202,500,500.0
4203,4203,500,500.0
4204,4204,500,500.0
4205,4205,500,500.0
4206,4206,500,500.0
4207,4207,500,500.0
4208,4208,500,500.0
4209,4209,500,500.0
4210,4210,500,500.0
4211,4211,500,500.0
4212,4212,500,500.0
4213,4213,500,500.0
4214,4214,204,204.0
4215,4215,349,349.0
4216,4216,500,500.0
4217,4217,500,500.0
4218,4218,500,500.0
4219,4219,500,500.0
4220,4220,500,500.0
4221,4221,500,500.0
4222,4222,500,500.0
4223,4223,500,500.0
4224,4224,500,500.0
4225,4225,500,500.0
4226,4226,112,112.0
4227,4227,382,382.0
4228,4228,500,500.0
4229,4229,395,395.0
4230,4230,500,500.0
4231,4231,500,500.0
4232,4232,500,500.0
4233,4233,500,500.0
4234,4234,500,500.0
4235,4235,500,500.0
4236,4236,500,500.0
4237,4237,500,500.0
4238,4238,500,500.0
4239,4239,500,500.0
4240,4240,500,500.0
4241,4241,500,500.0
4242,4242,500,500.0
4243,4243,500,500.0
4244,4244,500,500.0
4245,4245,500,500.0
4246,4246,500,500.0
4247,4247,500,500.0
4248,4248,500,500.0
4249,4249,450,450.0
4250,4250,500,500.0
4251,4251,500,500.0
4252,4252,500,500.0
4253,4253,500,500.0
4254,4254,500,500.0
4255,4255,500,500.0
4256,4256,90,90.0
4257,4257,500,500.0
4258,4258,500,500.0
4259,4259,313,313.0
4260,4260,500,500.0
4261,4261,323,323.0
4262,4262,500,500.0
4263,4263,500,500.0
4264,4264,500,500.0
4265,4265,500,500.0
4266,4266,500,500.0
4267,4267,500,500.0
4268,4268,500,500.0
4269,4269,500,500.0
4270,4270,500,500.0
4271,4271,500,500.0
4272,4272,500,500.0
4273,4273,500,500.0
4274,4274,500,500.0
4275,4275,500,500.0
4276,4276,500,500.0
4277,4277,500,500.0
4278,4278,500,500.0
4279,4279,500,500.0
4280,4280,500,500.0
4281,4281,500,500.0
4282,4282,500,500.0
4283,4283,500,500.0
4284,4284,238,238.0
4285,4285,500,500.0
4286,4286,500,500.0
4287,4287,500,500.0
4288,4288,500,500.0
4289,4289,500,500.0
4290,4290,500,500.0
4291,4291,500,500.0
4292,4292,500,500.0
4293,4293,500,500.0
4294,4294,500,500.0
4295,4295,500,500.0
4296,4296,500,500.0
4297,4297,500,500.0
4298,4298,500,500.0
4299,4299,500,500.0
4300,4300,500,500.0
4301,4301,500,500.0
4302,4302,500,500.0
4303,4303,500,500.0
4304,4304,500,500.0
4305,4305,500,500.0
4306,4306,500,500.0
4307,4307,500,500.0
4308,4308,500,500.0
4309,4309,500,500.0
4310,4310,500,500.0
4311,4311,500,500.0
4312,4312,500,500.0
4313,4313,500,500.0
4314,4314,500,500.0
4315,4315,500,500.0
4316,4316,500,500.0
4317,4317,500,500.0
4318,4318,500,500.0
4319,4319,500,500.0
4320,4320,500,500.0
4321,4321,500,500.0
4322,4322,500,500.0
4323,4323,500,500.0
4324,4324,500,500.0
4325,4325,500,500.0
4326,4326,500,500.0
4327,4327,500,500.0
4328,4328,500,500.0
4329,4329,500,500.0
4330,4330,500,500.0
4331,4331,500,500.0
4332,4332,500,500.0
4333,4333,500,500.0
4334,4334,500,500.0
4335,4335,500,500.0
4336,4336,500,500.0
4337,4337,500,500.0
4338,4338,500,500.0
4339,4339,500,500.0
4340,4340,500,500.0
4341,4341,500,500.0
4342,4342,500,500.0
4343,4343,500,500.0
4344,4344,500,500.0
4345,4345,500,500.0
4346,4346,500,500.0
4347,4347,500,500.0
4348,4348,500,500.0
4349,4349,500,500.0
4350,4350,500,500.0
4351,4351,500,500.0
4352,4352,500,500.0
4353,4353,500,500.0
4354,4354,500,500.0
4355,4355,500,500.0
4356,4356,500,500.0
4357,4357,500,500.0
4358,4358,500,500.0
4359,4359,500,500.0
4360,4360,500,500.0
4361,4361,500,500.0
4362,4362,500,500.0
4363,4363,500,500.0
4364,4364,500,500.0
4365,4365,500,500.0
4366,4366,500,500.0
4367,4367,500,500.0
4368,4368,500,500.0
4369,4369,500,500.0
4370,4370,500,500.0
4371,4371,500,500.0
4372,4372,500,500.0
4373,4373,500,500.0
4374,4374,500,500.0
4375,4375,500,500.0
4376,4376,500,500.0
4377,4377,500,500.0
4378,4378,52,52.0
4379,4379,500,500.0
4380,4380,500,500.0
4381,4381,500,500.0
4382,4382,500,500.0
4383,4383,500,500.0
4384,4384,500,500.0
4385,4385,500,500.0
4386,4386,500,500.0
4387,4387,500,500.0
4388,4388,500,500.0
4389,4389,500,500.0
4390,4390,42,42.0
4391,4391,500,500.0
4392,4392,385,385.0
4393,4393,500,500.0
4394,4394,500,500.0
4395,4395,500,500.0
4396,4396,500,500.0
4397,4397,500,500.0
4398,4398,500,500.0
4399,4399,500,500.0
4400,4400,335,335.0
4401,4401,500,500.0
4402,4402,134,134.0
4403,4403,500,500.0
4404,4404,500,500.0
4405,4405,500,500.0
4406,4406,290,290.0
4407,4407,500,500.0
4408,4408,500,500.0
4409,4409,500,500.0
4410,4410,500,500.0
4411,4411,500,500.0
4412,4412,500,500.0
4413,4413,500,500.0
4414,4414,500,500.0
4415,4415,500,500.0
4416,4416,500,500.0
4417,4417,500,500.0
4418,4418,500,500.0
4419,4419,500,500.0
4420,4420,500,500.0
4421,4421,500,500.0
4422,4422,500,500.0
4423,4423,500,500.0
4424,4424,500,500.0
4425,4425,500,500.0
4426,4426,500,500.0
4427,4427,500,500.0
4428,4428,500,500.0
4429,4429,500,500.0
4430,4430,500,500.0
4431,4431,500,500.0
4432,4432,500,500.0
4433,4433,500,500.0
4434,4434,500,500.0
4435,4435,500,500.0
4436,4436,47,47.0
4437,4437,500,500.0
4438,4438,346,346.0
4439,4439,500,500.0
4440,4440,42,42.0
4441,4441,500,500.0
4442,4442,500,500.0
4443,4443,43,43.0
4444,4444,233,233.0
4445,4445,500,500.0
4446,4446,500,500.0
4447,4447,500,500.0
4448,4448,500,500.0
4449,4449,500,500.0
4450,4450,500,500.0
4451,4451,500,500.0
4452,4452,475,475.0
4453,4453,500,500.0
4454,4454,500,500.0
4455,4455,500,500.0
4456,4456,500,500.0
4457,4457,500,500.0
4458,4458,47,47.0
4459,4459,500,500.0
4460,4460,500,500.0
4461,4461,500,500.0
4462,4462,42,42.0
4463,4463,500,500.0
4464,4464,500,500.0
4465,4465,500,500.0
4466,4466,500,500.0
4467,4467,500,500.0
4468,4468,500,500.0
4469,4469,500,500.0
4470,4470,123,123.0
4471,4471,500,500.0
4472,4472,500,500.0
4473,4473,189,189.0
4474,4474,500,500.0
4475,4475,500,500.0
4476,4476,500,500.0
4477,4477,500,500.0
4478,4478,500,500.0
4479,4479,500,500.0
4480,4480,500,500.0
4481,4481,500,500.0
4482,4482,500,500.0
4483,4483,500,500.0
4484,4484,500,500.0
4485,4485,500,500.0
4486,4486,500,500.0
4487,4487,500,500.0
4488,4488,500,500.0
4489,4489,500,500.0
4490,4490,500,500.0
4491,4491,500,500.0
4492,4492,500,500.0
4493,4493,500,500.0
4494,4494,500,500.0
4495,4495,500,500.0
4496,4496,500,500.0
4497,4497,500,500.0
4498,4498,500,500.0
4499,4499,500,500.0
4500,4500,331,331.0
4501,4501,183,183.0
4502,4502,500,500.0
4503,4503,500,500.0
4504,4504,500,500.0
4505,4505,500,500.0
4506,4506,500,500.0
4507,4507,500,500.0
4508,4508,500,500.0
4509,4509,500,500.0
4510,4510,500,500.0
4511,4511,500,500.0
4512,4512,500,500.0
4513,4513,500,500.0
4514,4514,500,500.0
4515,4515,500,500.0
4516,4516,500,500.0
4517,4517,500,500.0
4518,4518,500,500.0
4519,4519,500,500.0
4520,4520,500,500.0
4521,4521,500,500.0
4522,4522,500,500.0
4523,4523,500,500.0
4524,4524,500,500.0
4525,4525,500,500.0
4526,4526,500,500.0
4527,4527,500,500.0
4528,4528,500,500.0
