,episode,actions,rewards
318,318,50,50.0
319,319,24,24.0
320,320,94,94.0
321,321,62,62.0
322,322,48,48.0
323,323,35,35.0
324,324,11,11.0
325,325,41,41.0
326,326,42,42.0
327,327,82,82.0
328,328,27,27.0
329,329,30,30.0
330,330,24,24.0
331,331,16,16.0
332,332,64,64.0
333,333,14,14.0
334,334,22,22.0
335,335,41,41.0
336,336,57,57.0
337,337,38,38.0
338,338,39,39.0
339,339,63,63.0
340,340,50,50.0
341,341,46,46.0
342,342,22,22.0
343,343,129,129.0
344,344,47,47.0
345,345,29,29.0
346,346,49,49.0
347,347,39,39.0
348,348,22,22.0
349,349,21,21.0
350,350,23,23.0
351,351,13,13.0
352,352,103,103.0
353,353,97,97.0
354,354,28,28.0
355,355,34,34.0
356,356,41,41.0
357,357,58,58.0
358,358,19,19.0
359,359,39,39.0
360,360,39,39.0
361,361,25,25.0
362,362,26,26.0
363,363,54,54.0
364,364,43,43.0
365,365,79,79.0
366,366,29,29.0
367,367,104,104.0
368,368,48,48.0
369,369,27,27.0
370,370,59,59.0
371,371,32,32.0
372,372,75,75.0
373,373,30,30.0
374,374,31,31.0
375,375,30,30.0
376,376,25,25.0
377,377,29,29.0
378,378,42,42.0
379,379,20,20.0
380,380,48,48.0
381,381,65,65.0
382,382,45,45.0
383,383,36,36.0
384,384,106,106.0
385,385,66,66.0
386,386,77,77.0
387,387,19,19.0
388,388,45,45.0
389,389,62,62.0
390,390,36,36.0
391,391,52,52.0
392,392,49,49.0
393,393,62,62.0
394,394,94,94.0
395,395,74,74.0
396,396,37,37.0
397,397,42,42.0
398,398,57,57.0
399,399,41,41.0
400,400,44,44.0
401,401,57,57.0
402,402,43,43.0
403,403,91,91.0
404,404,127,127.0
405,405,56,56.0
406,406,69,69.0
407,407,80,80.0
408,408,75,75.0
409,409,43,43.0
410,410,45,45.0
411,411,45,45.0
412,412,39,39.0
413,413,89,89.0
414,414,28,28.0
415,415,44,44.0
416,416,94,94.0
417,417,25,25.0
418,418,39,39.0
419,419,33,33.0
420,420,48,48.0
421,421,53,53.0
422,422,57,57.0
423,423,123,123.0
424,424,19,19.0
425,425,74,74.0
426,426,50,50.0
427,427,61,61.0
428,428,31,31.0
429,429,45,45.0
430,430,44,44.0
431,431,49,49.0
432,432,17,17.0
433,433,46,46.0
434,434,26,26.0
435,435,30,30.0
436,436,33,33.0
437,437,35,35.0
438,438,40,40.0
439,439,33,33.0
440,440,25,25.0
441,441,16,16.0
442,442,57,57.0
443,443,24,24.0
444,444,24,24.0
445,445,27,27.0
446,446,58,58.0
447,447,23,23.0
448,448,62,62.0
449,449,36,36.0
450,450,153,153.0
451,451,52,52.0
452,452,36,36.0
453,453,19,19.0
454,454,51,51.0
455,455,92,92.0
456,456,41,41.0
457,457,147,147.0
458,458,20,20.0
459,459,28,28.0
460,460,12,12.0
461,461,30,30.0
462,462,30,30.0
463,463,44,44.0
464,464,64,64.0
465,465,60,60.0
466,466,83,83.0
467,467,47,47.0
468,468,18,18.0
469,469,39,39.0
470,470,42,42.0
471,471,116,116.0
472,472,61,61.0
473,473,33,33.0
474,474,44,44.0
475,475,82,82.0
476,476,74,74.0
477,477,148,148.0
478,478,36,36.0
479,479,22,22.0
480,480,72,72.0
481,481,44,44.0
482,482,76,76.0
483,483,85,85.0
484,484,59,59.0
485,485,81,81.0
486,486,46,46.0
487,487,75,75.0
488,488,64,64.0
489,489,34,34.0
490,490,45,45.0
491,491,37,37.0
492,492,82,82.0
493,493,28,28.0
494,494,38,38.0
495,495,57,57.0
496,496,72,72.0
497,497,85,85.0
498,498,80,80.0
499,499,19,19.0
500,500,75,75.0
501,501,48,48.0
502,502,21,21.0
503,503,22,22.0
504,504,39,39.0
505,505,83,83.0
506,506,56,56.0
507,507,38,38.0
508,508,82,82.0
509,509,55,55.0
510,510,56,56.0
511,511,64,64.0
512,512,52,52.0
513,513,25,25.0
514,514,61,61.0
515,515,62,62.0
516,516,87,87.0
517,517,66,66.0
518,518,65,65.0
519,519,92,92.0
520,520,58,58.0
521,521,102,102.0
522,522,58,58.0
523,523,39,39.0
524,524,62,62.0
525,525,48,48.0
526,526,42,42.0
527,527,76,76.0
528,528,91,91.0
529,529,51,51.0
530,530,55,55.0
531,531,79,79.0
532,532,132,132.0
533,533,84,84.0
534,534,133,133.0
535,535,48,48.0
536,536,17,17.0
537,537,107,107.0
538,538,131,131.0
539,539,60,60.0
540,540,69,69.0
541,541,59,59.0
542,542,78,78.0
543,543,69,69.0
544,544,72,72.0
545,545,67,67.0
546,546,91,91.0
547,547,64,64.0
548,548,24,24.0
549,549,62,62.0
550,550,108,108.0
551,551,65,65.0
552,552,23,23.0
553,553,76,76.0
554,554,114,114.0
555,555,30,30.0
556,556,29,29.0
557,557,70,70.0
558,558,85,85.0
559,559,82,82.0
560,560,95,95.0
561,561,76,76.0
562,562,83,83.0
563,563,62,62.0
564,564,46,46.0
565,565,136,136.0
566,566,38,38.0
567,567,38,38.0
568,568,35,35.0
569,569,33,33.0
570,570,65,65.0
571,571,101,101.0
572,572,35,35.0
573,573,48,48.0
574,574,114,114.0
575,575,64,64.0
576,576,45,45.0
577,577,42,42.0
578,578,125,125.0
579,579,97,97.0
580,580,21,21.0
581,581,22,22.0
582,582,91,91.0
583,583,106,106.0
584,584,46,46.0
585,585,88,88.0
586,586,18,18.0
587,587,151,151.0
588,588,123,123.0
589,589,38,38.0
590,590,106,106.0
591,591,89,89.0
592,592,92,92.0
593,593,60,60.0
594,594,55,55.0
595,595,41,41.0
596,596,58,58.0
597,597,144,144.0
598,598,159,159.0
599,599,58,58.0
600,600,81,81.0
601,601,67,67.0
602,602,31,31.0
603,603,49,49.0
604,604,63,63.0
605,605,30,30.0
606,606,33,33.0
607,607,98,98.0
608,608,112,112.0
609,609,52,52.0
610,610,68,68.0
611,611,88,88.0
612,612,56,56.0
613,613,49,49.0
614,614,93,93.0
615,615,242,242.0
616,616,51,51.0
617,617,126,126.0
618,618,28,28.0
619,619,142,142.0
620,620,130,130.0
621,621,90,90.0
622,622,37,37.0
623,623,57,57.0
624,624,65,65.0
625,625,94,94.0
626,626,62,62.0
627,627,72,72.0
628,628,35,35.0
629,629,136,136.0
630,630,72,72.0
631,631,103,103.0
632,632,103,103.0
633,633,124,124.0
634,634,76,76.0
635,635,38,38.0
636,636,105,105.0
637,637,117,117.0
638,638,63,63.0
639,639,147,147.0
640,640,56,56.0
641,641,102,102.0
642,642,71,71.0
643,643,87,87.0
644,644,93,93.0
645,645,83,83.0
646,646,158,158.0
647,647,58,58.0
648,648,52,52.0
649,649,21,21.0
650,650,130,130.0
651,651,122,122.0
652,652,51,51.0
653,653,108,108.0
654,654,145,145.0
655,655,72,72.0
656,656,221,221.0
657,657,97,97.0
658,658,73,73.0
659,659,155,155.0
660,660,74,74.0
661,661,81,81.0
662,662,66,66.0
663,663,104,104.0
664,664,109,109.0
665,665,60,60.0
666,666,139,139.0
667,667,79,79.0
668,668,111,111.0
669,669,41,41.0
670,670,100,100.0
671,671,144,144.0
672,672,115,115.0
673,673,103,103.0
674,674,145,145.0
675,675,78,78.0
676,676,75,75.0
677,677,35,35.0
678,678,26,26.0
679,679,46,46.0
680,680,169,169.0
681,681,31,31.0
682,682,118,118.0
